 18413  543.00 2612.02 19.523  1.809 17.714  80   0 0.060 1015   2 0.028
 18414  419.88 2617.17 19.666  2.266 17.400  79   0 0.055 1014   3 0.028
 18415  443.03 2618.58 19.312  2.189 17.123  79   1 0.039 1014   4 0.023
 18419  528.59 2630.57 20.007  2.387 17.620  77   0 0.068 1015   4 0.027
 18422  430.79 2639.72 19.811  2.395 17.415  81   0 0.061 1018   0 0.024
 18423  543.95 2642.24 20.293  3.179 17.115  77   0 0.091 1018   2 0.021
 18424  499.03 2643.72 20.233  2.488 17.746  76   0 0.074 1009   1 0.028
 18426  500.37 2657.16 19.682  2.488 17.194  78   0 0.056 1019   3 0.019
 18432  502.91 2665.14 19.525  2.180 17.345  78   0 0.049 1021   3 0.024
 18435  441.29 2669.55 20.116  2.761 17.355  76   0 0.065 1013   2 0.021
 18436  474.49 2668.76 19.704  2.567 17.137  78   0 0.056 1017   1 0.019
 18437  503.91 2670.38 20.050  2.598 17.452  80   0 0.069 1015   2 0.026
 18438  470.08 2673.69 20.028  2.701 17.327  78   0 0.080 1018   1 0.022
 18440  419.76 2675.52 19.782  2.046 17.736  79   0 0.084 1019   0 0.060
 18446  502.98 2689.70 20.491  2.827 17.664  78   1 0.111 1042   2 0.116
 18448  505.47 2693.12 20.780  3.701 17.079  78   0 0.278 1048   1 0.243
 18456  476.79 2700.71 20.433  2.763 17.670  76   0 0.116 1016   1 0.028
 18459  407.31 2706.21 20.195  2.595 17.601  78   1 0.076 1010   3 0.026
 18468  424.92 2718.36 20.090  2.517 17.572  78   0 0.071 1017   1 0.029
 18474  436.50 2726.90 19.696  2.443 17.253  78   0 0.050 1016   3 0.020
 18478  514.67 2734.58 19.930  2.607 17.322  77   0 0.060 1014   1 0.020
 18481  443.27 2741.53 19.786  2.775 17.012  79   0 0.059 1016   2 0.019
 18484  418.36 2747.12 19.536  2.564 16.972  79   1 0.048 1024   2 0.017
 18486  402.81 2750.19 19.289  1.764 17.525  79   0 0.040 1016   0 0.026
 18487  499.07 2750.76 19.513  2.165 17.349  78   0 0.040 1014   1 0.021
 18489  542.04 2759.97 19.216  1.975 17.241  81   0 0.036 1016   3 0.020
 18491  516.91 2768.32 19.158  1.929 17.229  78   1 0.030 1017   4 0.020
 18492  528.42 2768.54 19.973  2.916 17.057  79   0 0.065 1012   4 0.018
 18494  407.81 2775.76 20.128  2.616 17.511  78   0 0.071 1012   4 0.025
 18505  535.83 2792.32 19.565  2.670 16.895  80   0 0.051 1015   2 0.016
 18525  520.71 2568.23 21.069  2.049 19.020  77   0 0.182 1013   3 0.089
 18526  472.65 2577.98 21.335  2.569 18.766  77   0 0.221 1012   2 0.080
 18527  464.71 2586.38 99.999  9.999 18.219   0   0 9.999 1019   1 0.063
 18531  433.72 2640.69 20.835  2.178 18.657  80   0 0.135 1011   1 0.070
 18533  505.46 2665.12 19.525  1.578 17.947  78   0 0.049 1014   5 0.039
 18537  427.56 2715.32 20.794  2.649 18.146  77   0 0.124 1013   1 0.043
 18538  544.78 2763.82 20.693  2.558 18.135  79   0 0.132 1009   5 0.043
 18539  409.50 2772.42 21.006  2.752 18.254  78   0 0.160 1014   2 0.047
 18791  493.41 2558.56 21.025  2.520 18.506  73   0 0.140 1009   4 0.054
 18793  471.90 2562.41 20.935  2.677 18.259  76   0 0.134 1006   2 0.045
 18800  488.36 2566.96 20.514  1.950 18.564  77   0 0.100 1014   2 0.066
 18802  497.60 2570.58 20.820  2.479 18.341  79   0 0.109 1012   1 0.048
 18812  408.05 2576.89 21.321  2.636 18.685  77   0 0.233 1013   2 0.065
 18813  541.08 2577.38 20.640  1.732 18.908  76   0 0.112 1008   2 0.086
 18821  508.51 2591.95 19.762  1.970 17.792  80   0 0.065 1013   1 0.033
 18826  454.78 2599.07 21.020  2.703 18.317  75   0 0.165 1012   4 0.049
 18828  417.84 2600.44 20.748  1.854 18.894  78   0 0.155 1025   2 0.098
 18831  439.95 2609.45 20.705  2.587 18.118  77   0 0.129  982   0 0.277
 18832  488.27 2609.03 20.287  2.333 17.954  76   0 0.077 1009   2 0.036
 18835  429.42 2613.01 20.352  1.854 18.498  78   0 0.108  832   0 0.422
 18840  493.00 2621.92 20.471  2.421 18.050  77   0 0.098 1011   2 0.039
 18847  492.49 2628.74 21.141  2.690 18.451  75   0 0.171 1009   2 0.053
 18850  460.18 2633.71 20.320  2.405 17.915  76   0 0.076 1011   1 0.034
 18851  527.28 2634.24 20.341  2.443 17.898  75   1 0.078 1011   4 0.035
 18853  481.87 2642.16 20.737  1.965 18.772  73   0 0.116 1009   5 0.071
 18858  485.05 2650.52 20.585  2.367 18.218  79   1 0.104 1012   6 0.048
 18860  488.69 2654.37 20.377  1.847 18.531  80   0 0.133 1014   2 0.071
 18861  506.55 2655.52 21.061  2.492 18.570  75   0 0.188 1013   2 0.063
 18863  396.64 2660.11 20.236  2.363 17.873  79   0 0.077 1012   3 0.033
 18866  494.46 2664.55 20.572  2.497 18.075  78   0 0.104 1008   5 0.040
 18867  441.40 2665.16 21.068  2.513 18.556  79   0 0.211 1010   4 0.060
 18868  394.31 2669.23 20.665  2.184 18.481  78   0 0.121 1011   5 0.057
 18871  403.71 2674.29 20.997  2.614 18.382  76   0 0.148 1011   3 0.052
 18873  460.72 2676.82 20.610  1.609 19.001  74   0 0.114 1007   2 0.086
 18876  400.69 2679.14 20.868  2.326 18.542  74   0 0.130 1013   2 0.058
 18877  499.31 2680.89 20.131  1.957 18.174  76   0 0.065 1013   1 0.050
 18880  549.41 2681.64 20.618  2.230 18.388  75   0 0.120 1011   3 0.056
 18883  436.57 2685.93 20.544  2.085 18.459  74   0 0.095 1008   3 0.051
 18886  414.50 2689.76 21.170  2.750 18.420  72   0 0.168 1010   2 0.052
 18887  526.11 2695.94 20.687  2.481 18.206  80   0 0.136 1009   5 0.060
 18891  491.22 2699.43 99.999  9.999 18.529   0   0 9.999 1025   2 0.128
 18892  511.03 2704.78 20.483  2.363 18.120  76   0 0.107 1028   2 0.099
 18895  511.94 2695.27 99.999  9.999 18.651   0   0 9.999 1041   0 0.213
 18896  534.04 2701.00 20.518  2.147 18.371  79   0 0.090 1009   4 0.054
 18897  546.33 2701.09 20.602  2.002 18.599  72   0 0.109 1008   3 0.062
 18899  495.92 2703.04 99.999  9.999 18.579   0   0 9.999 1032   3 0.198
 18905  407.53 2716.72 20.951  2.449 18.502  77   0 0.154 1007   1 0.058
 18910  473.43 2719.48 20.827  2.600 18.227  75   0 0.114 1011   1 0.044
 18912  400.65 2721.93 20.954  2.583 18.372  78   0 0.146 1013   2 0.053
 18916  400.55 2726.10 19.912  1.965 17.947  77   0 0.055 1013   2 0.034
 18920  431.75 2731.11 20.938  2.777 18.161  78   0 0.178 1012   2 0.045
 18921  439.92 2733.35 20.719  2.659 18.059  80   0 0.153 1022   3 0.046
 18934  444.45 2746.41 20.917  2.535 18.382  78   0 0.163 1016   3 0.062
 18937  521.15 2749.59 19.866  2.069 17.798  80   0 0.054 1012   4 0.032
 18938  546.16 2749.88 20.949  2.631 18.319  79   0 0.148 1009   2 0.052
 18941  525.27 2751.20 20.010  2.152 17.859  80   0 0.061 1017   3 0.040
 18949  461.05 2757.99 20.569  2.695 17.875  79   0 0.117 1016   0 0.035
 18950  518.88 2762.50 19.867  1.889 17.978  79   0 0.058 1011   2 0.038
 18956  443.68 2768.52 20.176  2.027 18.150  79   0 0.072 1013   0 0.045
 18959  486.43 2773.20 20.773  2.786 17.986  74   1 0.140 1013   2 0.037
 18960  476.91 2773.34 20.326  2.419 17.907  77   0 0.079 1012   2 0.033
 18969  460.47 2788.79 21.223  2.831 18.392  77   0 0.182 1009   3 0.051
 18975  438.32 2793.90 20.995  2.666 18.329  77   0 0.167 1014   3 0.047
 18979  455.13 2798.76 20.891  2.293 18.598  75   0 0.171 1009   2 0.063
 18981  505.58 2800.25 20.726  2.193 18.533  78   0 0.104 1010   4 0.057
 18982  535.60 2802.87 20.900  2.697 18.202  76   0 0.133 1011   2 0.042
 18984  486.79 2802.67 20.891  2.384 18.507  73   0 0.153 1009   4 0.059
 18985  504.37 2805.49 20.679  2.505 18.174  72   0 0.103 1015   0 0.042
 18986  489.67 2808.57 20.980  2.381 18.598  79   0 0.157 1005   4 0.060
 19021  471.45 2566.38 21.626  1.956 19.670  71   0 0.250 1009   1 0.162
 19027  467.64 2674.47 99.999  9.999 19.497   0   0 9.999 1017   1 0.167
 19029  547.71 2683.42 20.618  1.515 19.103  75   0 0.120 1013   3 0.106
 19031  525.73 2699.66 99.999  9.999 19.241   0   0 9.999 1005   4 0.127
 19041  447.06 2768.43 21.189  2.539 18.650  77   1 0.212 1016   0 0.095
 19043  483.54 2771.67 20.773  1.308 19.464  74   1 0.140 1011   1 0.142
 19675  507.06 2557.45 21.288  2.427 18.861  76   0 0.217 1010   1 0.084
 19679  459.22 2560.39 21.552  2.257 19.295  75   0 0.249 1012   0 0.112
 19680  547.00 2559.70 22.015  2.759 19.257  74   0 0.341 1002   4 0.104
 19686  394.89 2561.68 21.359  2.515 18.844  75   0 0.226 1004   6 0.074
 19693  544.78 2566.56 21.339  2.581 18.759  81   0 0.289 1007   2 0.069
 19694  482.14 2569.72 21.249  2.130 19.119  76   0 0.177 1001   3 0.100
 19704  430.81 2571.64 22.049  2.504 19.546  71   0 0.350 1005   2 0.132
 19709  469.99 2573.12 21.127  2.274 18.853  75   0 0.171 1005   4 0.078
 19710  523.41 2573.04 21.167  2.326 18.841  81   0 0.198 1011   2 0.080
 19715  424.49 2574.33 99.999  9.999 19.248   0   0 9.999 1016   1 0.134
 19717  393.48 2578.65 21.100  1.969 19.131  75   1 0.156 1004   2 0.096
 19720  396.57 2575.92 21.539  2.150 19.389  77   1 0.241 1007   2 0.121
 19724  505.86 2576.79 99.999  9.999 19.369   0   0 9.999 1013   3 0.143
 19728  458.86 2580.11 21.731  3.019 18.712  77   0 0.312 1006   3 0.074
 19732  424.88 2582.56 20.864  1.961 18.903  77   0 0.143 1012   2 0.081
 19739  389.77 2585.60 20.962  1.914 19.048  75   1 0.157  998   5 0.090
 19740  447.30 2587.16 21.366  2.046 19.320  71   0 0.219 1005   2 0.113
 19743  455.95 2587.94 21.258  2.154 19.104  75   0 0.171 1010   2 0.097
 19744  474.33 2587.99 21.618  2.556 19.062  77   0 0.280 1015   0 0.105
 19748  414.57 2592.15 20.947  2.030 18.917  73   0 0.178 1015   1 0.089
 19752  528.15 2596.06 21.209  2.473 18.736  73   1 0.161 1010   2 0.069
 19759  424.29 2599.77 21.329  1.873 19.456  77   0 0.243 1011   2 0.157
 19760  415.21 2599.54 21.184  2.379 18.805  78   0 0.179 1023   1 0.086
 19761  512.07 2599.80 21.359  2.200 19.159  74   0 0.206 1006   1 0.093
 19762  527.29 2599.65 21.445  2.139 19.306  72   0 0.180 1012   2 0.117
 19763  537.17 2601.71 21.181  2.025 19.156  74   0 0.220 1012   1 0.102
 19766  399.01 2603.33 21.300  2.221 19.079  76   0 0.215 1004   1 0.102
 19770  435.31 2605.61 99.999  9.999 18.464   0   0 9.999  865   0 0.496
 19771  514.23 2604.41 21.333  2.177 19.156  73   0 0.207 1008   1 0.092
 19776  463.17 2607.48 21.536  2.492 19.044  74   0 0.246 1005   3 0.087
 19782  517.16 2609.93 21.124  2.012 19.112  76   0 0.158 1012   2 0.094
 19783  523.56 2609.06 21.855  2.387 19.468  72   0 0.361 1011   2 0.132
 19788  482.78 2612.71 21.897  2.608 19.290  76   0 0.333 1009   0 0.116
 19789  490.94 2611.62 99.999  9.999 19.403   0   0 9.999 1014   1 0.132
 19792  462.49 2613.06 21.242  2.138 19.104  75   0 0.201 1009   2 0.097
 19797  401.57 2615.44 99.999  9.999 19.956   0   0 9.999 1017   2 0.233
 19799  431.46 2618.46 99.999  9.999 19.230   0   0 9.999  948   1 0.277
 19800  516.40 2621.60 99.999  9.999 19.241   0   0 9.999 1006   3 0.105
 19804  448.41 2621.74 21.061  1.853 19.208  76   0 0.175 1011   2 0.115
 19806  506.53 2623.71 21.503  2.211 19.292  73   0 0.230 1005   5 0.111
 19807  524.46 2623.62 21.000  1.948 19.052  76   0 0.174 1009   0 0.100
 19811  421.13 2625.87 21.303  2.195 19.108  73   0 0.191 1020   2 0.112
 19812  477.87 2625.26 21.077  2.309 18.768  77   0 0.153 1001   3 0.066
 19813  518.89 2623.95 21.139  1.604 19.535  75   0 0.183 1004   2 0.146
 19814  545.72 2628.37 21.068  2.240 18.828  79   0 0.212 1010   3 0.125
 19827  431.50 2633.86 21.224  2.304 18.920  79   0 0.206 1011   0 0.086
 19829  405.26 2634.76 21.279  2.484 18.795  79   0 0.190 1008   5 0.071
 19830  420.59 2632.97 21.879  2.444 19.435  72   0 0.347 1009   2 0.142
 19831  541.27 2635.26 20.780  2.102 18.678  77   0 0.143 1004   5 0.088
 19837  413.68 2640.40 21.035  1.857 19.178  77   0 0.153 1013   2 0.108
 19841  409.71 2637.12 21.640  2.536 19.104  75   0 0.256 1009   1 0.098
 19842  416.00 2637.53 99.999  9.999 19.172   0   0 9.999 1012   3 0.109
 19845  471.35 2639.71 21.558  2.097 19.461  74   0 0.197 1008   4 0.125
 19850  536.01 2643.13 20.990  2.251 18.739  79   0 0.155 1014   0 0.078
 19853  396.71 2645.63 21.269  2.219 19.050  78   0 0.225 1014   2 0.112
 19856  463.35 2647.64 21.195  2.327 18.869  74   0 0.209 1008   2 0.077
 19863  408.28 2650.35 21.034  2.209 18.825  74   0 0.184 1009   4 0.077
 19868  464.00 2654.12 21.389  2.553 18.836  75   0 0.231 1012   2 0.084
 19869  540.89 2654.54 21.178  2.513 18.665  75   0 0.227 1016   2 0.115
 19876  483.09 2655.97 21.480  1.931 19.549  73   1 0.188 1005   3 0.155
 19877  545.14 2657.31 99.999  9.999 18.732   0   0 9.999  994   2 0.179
 19881  415.63 2658.62 20.834  2.335 18.499  81   0 0.173 1018   1 0.070
 19884  400.09 2659.78 20.933  2.201 18.733  77   0 0.137 1010   3 0.071
 19885  456.04 2661.22 21.086  1.820 19.266  77   0 0.203 1009   1 0.116
 19886  536.97 2658.91 99.999  9.999 19.187   0   0 9.999 1005   3 0.167
 19890  467.77 2660.49 21.392  2.476 18.916  74   1 0.235 1005   3 0.082
 19891  508.69 2660.06 21.796  2.301 19.495  78   0 0.338 1002   3 0.142
 19893  548.73 2665.04 99.999  9.999 18.616   0   0 9.999  991   0 0.207
 19896  393.10 2664.95 21.145  2.155 18.990  76   0 0.190 1011   4 0.086
 19897  535.87 2665.15 21.374  2.584 18.789  77   0 0.263 1015   4 0.131
 19901  486.20 2667.44 21.522  2.518 19.003  75   0 0.232 1010   2 0.091
 19902  498.95 2667.28 99.999  9.999 19.191   0   0 9.999 1011   4 0.120
 19905  539.29 2669.06 99.999  9.999 19.211   0   0 9.999 1008   2 0.192
 19906  545.79 2671.11 21.960  2.573 19.387  75   0 0.359  996   1 0.193
 19911  412.06 2669.40 21.605  2.374 19.230  71   1 0.274 1013   2 0.109
 19912  492.37 2674.26 21.357  2.139 19.217  76   0 0.250 1003   4 0.110
 19915  392.50 2673.05 21.046  2.118 18.928  77   0 0.166 1012   1 0.087
 19916  422.98 2673.08 20.749  2.032 18.717  81   0 0.184 1016   3 0.090
 19924  416.52 2679.02 21.241  2.494 18.747  76   0 0.202 1012   3 0.086
 19925  469.80 2678.60 21.227  1.866 19.361  73   0 0.198 1016   0 0.159
 19930  514.46 2680.27 21.244  2.193 19.051  75   1 0.171 1012   3 0.108
 19931  540.61 2680.60 99.999  9.999 19.270   0   0 9.999 1009   0 0.157
 19934  449.44 2684.04 20.923  2.020 18.902  76   0 0.147 1011   0 0.074
