2457791.88602 18.133 0.038 4.64 1419.0
2457792.88880 18.135 0.047 5.89 1585.0
2457793.88024 18.180 0.026 4.63 547.0
2457794.88721 18.116 0.036 5.89 854.0
2457795.89125 18.137 0.037 4.91 1202.0
2457797.89084 18.126 0.033 4.59 1121.0
2457799.88529 18.105 0.031 5.39 668.0
2457801.87742 18.138 0.032 5.36 656.0
2457803.85794 18.164 0.031 4.54 917.0
2457807.84428 18.169 0.025 5.20 384.0
2457808.89504 18.130 0.027 5.05 562.0
2457809.90325 18.129 0.033 4.80 962.0
2457812.85736 18.107 0.023 5.03 415.0
2457814.82621 18.085 0.025 5.63 422.0
2457815.85312 18.156 0.025 5.84 407.0
2457816.84490 18.114 0.024 5.23 386.0
2457817.84148 18.092 0.022 4.58 445.0
2457818.82769 18.186 0.022 4.60 406.0
2457819.80756 18.115 0.024 5.77 382.0
2457819.90497 18.092 0.024 4.37 592.0
2457821.81569 18.183 0.032 5.78 527.0
2457822.81109 18.036 0.031 5.92 657.0
2457822.90044 18.096 0.021 4.30 404.0
2457823.88564 18.128 0.022 4.10 492.0
2457824.88174 18.114 0.028 5.25 542.0
2457825.87333 18.107 0.026 5.06 525.0
2457826.83221 18.073 0.028 5.35 627.0
2457827.80775 18.155 0.027 5.05 557.0
2457827.89688 18.116 0.023 4.79 477.0
2457828.86587 18.128 0.023 4.63 485.0
2457829.84787 18.098 0.029 5.21 670.0
2457830.85628 18.120 0.024 4.63 520.0
2457834.85204 18.080 0.025 5.17 466.0
2457835.79451 18.125 0.034 7.80 343.0
2457836.76435 18.112 0.035 7.84 384.0
2457836.88384 18.145 0.028 6.51 322.0
2457837.81747 18.169 0.023 5.32 296.0
2457838.75601 18.152 0.029 6.37 401.0
2457838.87371 18.138 0.021 4.49 358.0
2457839.82173 18.134 0.018 3.74 285.0
2457840.74603 18.136 0.027 6.17 365.0
2457840.86551 18.169 0.024 5.16 309.0
2457841.80533 18.095 0.030 7.35 319.0
2457841.91559 18.117 0.033 6.51 480.0
2457842.83021 18.144 0.023 5.60 316.0
2457843.75469 18.119 0.024 5.74 314.0
2457843.87224 18.154 0.021 4.95 280.0
2457844.78152 18.117 0.018 4.42 293.0
2457844.90049 18.099 0.024 5.76 318.0
2457845.81504 18.172 0.022 5.03 319.0
2457846.74618 18.185 0.029 6.54 324.0
2457846.85302 18.138 0.021 4.79 305.0
2457847.75613 18.086 0.024 5.65 337.0
2457847.87416 18.161 0.024 5.58 313.0
2457848.77004 18.106 0.023 5.65 312.0
2457848.88914 18.158 0.018 3.95 282.0
2457849.78353 18.148 0.018 3.99 329.0
2457849.90191 18.119 0.017 3.82 301.0
2457850.79580 18.120 0.024 5.04 390.0
2457850.91647 18.114 0.024 5.30 397.0
2457851.81351 18.089 0.023 5.10 416.0
2457852.74771 18.086 0.034 6.91 487.0
2457853.87319 18.156 0.031 6.58 428.0
2457853.88521 18.054 0.028 6.47 413.0
2457854.73605 18.109 0.026 4.78 620.0
2457854.78200 18.130 0.023 4.18 544.0
2457854.85519 18.158 0.023 4.21 499.0
2457855.76573 18.099 0.024 4.27 625.0
2457855.88874 18.122 0.021 3.71 551.0
2457856.77438 18.159 0.032 5.86 554.0
2457856.89945 18.125 0.036 6.53 540.0
2457858.82471 18.103 0.023 4.59 517.0
2457862.73553 18.121 0.028 6.17 407.0
2457862.84639 18.128 0.024 5.48 390.0
2457863.79321 18.086 0.026 5.99 362.0
2457864.74996 18.118 0.018 4.20 313.0
2457864.90230 18.146 0.020 4.16 376.0
2457865.75260 18.114 0.022 5.14 347.0
2457865.89143 18.089 0.020 4.04 412.0
2457866.74935 18.151 0.020 4.06 343.0
2457866.88202 18.123 0.018 3.34 366.0
2457867.75283 18.156 0.017 3.44 303.0
2457867.88416 18.171 0.021 4.42 321.0
2457868.81860 18.136 0.029 6.58 365.0
2457869.69868 18.151 0.022 5.49 335.0
2457869.81758 18.130 0.018 4.01 310.0
2457870.70469 18.148 0.020 4.39 319.0
2457870.83998 18.156 0.020 4.50 311.0
2457871.72576 18.115 0.019 4.16 361.0
2457871.85962 18.118 0.019 3.88 334.0
2457872.72561 18.155 0.019 3.85 353.0
2457872.87135 18.104 0.018 3.66 359.0
2457873.70529 18.136 0.021 4.30 368.0
2457873.81403 18.109 0.017 3.46 331.0
2457874.66526 18.122 0.028 6.37 410.0
2457874.79225 18.151 0.026 5.64 372.0
2457874.90563 18.131 0.025 5.40 426.0
2457875.87817 18.105 0.022 4.47 510.0
2457876.67652 18.136 0.028 6.01 487.0
2457876.79936 18.123 0.019 3.94 376.0
2457876.93427 18.079 0.025 4.44 665.0
2457877.75729 18.148 0.018 3.34 353.0
2457877.88568 18.101 0.022 4.29 463.0
2457878.79720 18.150 0.018 3.44 374.0
2457878.91998 18.119 0.019 3.57 458.0
2457879.74437 18.182 0.033 6.35 463.0
2457880.66566 18.210 0.036 7.13 487.0
2457880.77333 18.133 0.028 5.70 462.0
2457880.91566 18.082 0.032 6.42 470.0
2457881.85401 18.098 0.026 4.95 525.0
2457882.73028 18.172 0.028 5.22 502.0
2457882.86144 18.088 0.027 4.99 596.0
2457889.89290 18.075 0.040 6.20 938.0
2457890.75550 18.065 0.029 5.93 531.0
2457890.91274 18.078 0.044 7.60 679.0
2457893.72250 18.100 0.025 5.73 389.0
2457893.85243 18.120 0.021 4.48 384.0
2457894.60372 18.145 0.033 7.60 465.0
2457894.71542 18.094 0.020 4.37 347.0
2457894.83466 18.147 0.022 4.30 377.0
2457894.94259 18.137 0.044 5.76 1262.0
2457897.63924 18.168 0.032 7.31 427.0
2457897.75407 18.113 0.024 5.54 417.0
2457900.93391 18.090 0.034 7.33 441.0
2457901.68616 18.145 0.024 5.71 362.0
2457901.83990 18.130 0.026 5.37 401.0
2457902.67481 18.101 0.020 4.46 336.0
2457902.80622 18.085 0.023 5.01 394.0
2457903.69376 18.122 0.031 7.55 323.0
2457903.85236 18.098 0.023 5.04 392.0
2457904.59326 18.124 0.032 7.51 410.0
2457904.70922 18.134 0.018 4.02 291.0
2457904.83220 18.145 0.021 4.39 334.0
2457904.94280 18.053 0.039 6.71 791.0
2457905.66917 18.119 0.018 3.92 328.0
2457905.79889 18.148 0.022 4.61 379.0
2457905.92566 18.122 0.027 5.16 492.0
2457906.61697 18.116 0.022 4.55 397.0
2457906.74582 18.128 0.018 3.51 368.0
2457906.85844 18.124 0.023 4.21 469.0
2457907.60807 18.070 0.026 5.55 631.0
2457907.73256 18.132 0.021 4.27 495.0
2457908.57838 18.015 0.033 6.86 634.0
2457908.68110 18.133 0.022 4.10 444.0
2457908.81142 18.138 0.023 4.74 402.0
2457908.92036 18.094 0.032 6.09 596.0
2457909.61126 18.132 0.028 4.88 583.0
2457909.73271 18.095 0.022 4.11 484.0
2457909.84139 18.120 0.020 3.59 450.0
2457909.93407 18.084 0.029 5.07 723.0
2457910.62856 18.113 0.026 4.97 515.0
2457910.76079 18.107 0.023 4.48 478.0
2457910.87812 18.139 0.023 4.20 614.0
2457911.59603 18.135 0.037 6.56 708.0
2457911.70394 18.161 0.031 5.71 541.0
2457916.55502 18.125 0.039 6.38 871.0
2457916.65314 18.044 0.033 4.16 1504.0
2457916.75160 18.091 0.025 4.24 636.0
2457917.57692 18.117 0.031 6.03 563.0
2457917.68990 18.094 0.025 4.89 478.0
2457917.80339 18.122 0.024 4.44 551.0
2457917.91073 18.135 0.038 5.73 882.0
2457918.69840 18.153 0.036 5.25 1139.0
2457922.67435 18.121 0.022 4.82 355.0
2457923.55841 18.124 0.030 6.40 478.0
2457923.68149 18.089 0.026 5.88 371.0
2457923.80351 18.122 0.029 5.83 425.0
2457924.58709 18.144 0.023 5.07 373.0
2457924.71314 18.140 0.021 3.89 363.0
2457924.82124 18.118 0.021 3.98 426.0
2457925.61083 18.104 0.029 6.69 364.0
2457925.74637 18.149 0.029 6.32 351.0
2457925.86216 18.103 0.024 5.31 409.0
2457926.63409 18.139 0.023 5.13 331.0
2457926.77803 18.197 0.030 6.21 373.0
2457928.62457 18.132 0.027 5.74 408.0
2457932.66487 18.124 0.032 7.00 380.0
2457932.78804 18.138 0.025 5.76 346.0
2457933.64570 18.101 0.024 6.00 295.0
2457933.77789 18.046 0.026 6.67 315.0
2457934.58010 18.099 0.022 5.21 360.0
2457934.81069 18.163 0.026 5.31 356.0
2457935.55032 18.129 0.022 5.05 384.0
2457935.68164 18.144 0.024 5.48 365.0
2457935.79188 18.165 0.018 3.77 307.0
2457935.87996 18.160 0.023 4.77 372.0
2457936.54287 18.172 0.025 5.18 384.0
2457936.66875 18.163 0.024 5.43 321.0
2457936.79963 18.138 0.021 5.08 295.0
2457937.48463 18.098 0.033 6.65 596.0
2457937.59548 18.122 0.026 5.68 394.0
2457937.71692 18.147 0.027 5.67 352.0
2457937.83694 18.165 0.028 6.03 374.0
2457938.62089 18.106 0.033 7.18 454.0
2457944.49538 18.177 0.034 5.60 738.0
2457944.53606 18.147 0.030 4.98 723.0
2457944.58754 18.107 0.026 4.57 658.0
2457944.62803 18.123 0.029 5.04 629.0
2457944.69816 18.146 0.027 4.47 592.0
2457944.74673 18.160 0.029 4.72 630.0
2457944.79862 18.144 0.032 5.05 733.0
2457944.83161 18.112 0.041 6.33 1033.0
2457945.51690 18.109 0.034 6.36 658.0
2457945.62669 18.099 0.020 4.20 442.0
2457945.73897 18.119 0.021 3.89 473.0
2457945.84670 18.090 0.035 6.02 742.0
2457946.57054 18.134 0.026 5.18 461.0
2457946.69986 18.144 0.024 4.89 407.0
2457946.81218 18.135 0.025 4.97 456.0
2457947.55351 18.099 0.025 6.08 369.0
2457947.81555 18.126 0.034 6.94 489.0
2457948.56520 18.146 0.023 5.47 316.0
2457948.68979 18.129 0.025 4.77 527.0
2457948.82211 18.128 0.030 5.95 527.0
2457949.61218 18.222 0.033 6.20 564.0
2457949.73940 18.081 0.033 5.62 763.0
2457952.76758 18.160 0.028 6.49 320.0
2457953.52429 18.158 0.023 5.00 355.0
2457953.66671 18.132 0.023 5.55 300.0
2457953.78344 18.133 0.024 5.54 351.0
2457954.54147 18.142 0.021 4.64 416.0
2457954.68742 18.107 0.018 4.29 294.0
2457955.74205 18.125 0.019 4.42 326.0
2457956.53019 18.125 0.023 4.49 418.0
2457956.67148 18.113 0.019 4.18 301.0
2457956.78623 18.119 0.024 5.52 378.0
2457957.71121 18.124 0.026 6.41 353.0
2457958.61852 18.103 0.026 6.12 338.0
2457958.71933 18.165 0.026 5.92 330.0
2457959.48074 18.112 0.023 5.35 386.0
2457959.58139 18.153 0.021 4.71 323.0
2457959.69931 18.136 0.020 4.58 303.0
2457959.80310 18.160 0.026 6.18 368.0
2457960.56759 18.143 0.020 5.09 291.0
2457960.70535 18.157 0.021 4.96 324.0
2457960.80288 18.106 0.026 6.42 342.0
2457961.63773 18.142 0.021 4.86 337.0
2457961.77997 18.150 0.034 7.15 531.0
2457962.57797 18.114 0.018 3.89 350.0
2457964.53972 18.126 0.024 4.75 447.0
2457964.64439 18.168 0.025 5.24 378.0
2457965.63194 18.148 0.024 4.62 435.0
2457965.70844 18.121 0.022 4.48 524.0
2457966.58285 18.160 0.027 5.94 367.0
2457966.69755 18.165 0.028 6.18 342.0
2457967.62994 18.133 0.027 5.52 422.0
2457967.70526 18.141 0.036 7.30 464.0
2457971.48625 18.223 0.041 5.98 816.0
2457971.52899 18.112 0.037 4.83 1225.0
2457971.58198 18.094 0.028 4.85 639.0
2457971.61749 18.123 0.029 4.85 662.0
2457971.66584 18.154 0.036 5.40 757.0
2457972.50087 18.072 0.045 7.74 700.0
2457972.59013 18.119 0.033 5.72 616.0
2457972.63365 18.133 0.030 5.02 623.0
2457972.69685 18.072 0.030 5.04 703.0
2457972.73736 18.129 0.038 5.63 836.0
2457973.60259 18.101 0.034 6.29 597.0
2457973.74121 18.089 0.041 6.73 832.0
2457974.58146 18.149 0.026 4.99 457.0
2457974.69727 18.151 0.030 5.33 533.0
2457975.64397 18.120 0.035 7.33 417.0
2457979.57744 18.095 0.022 4.89 392.0
2457980.49386 18.084 0.031 6.80 459.0
2457980.62729 18.140 0.030 6.19 433.0
2457981.56003 18.139 0.025 4.87 440.0
2457981.67970 18.112 0.026 4.98 445.0
2457982.58935 18.125 0.024 4.88 358.0
2457983.51634 18.155 0.029 6.03 370.0
2457983.62703 18.112 0.021 4.35 354.0
2457984.54148 18.093 0.035 7.95 372.0
2457984.65416 18.168 0.026 5.36 355.0
2457985.59023 18.119 0.029 6.43 376.0
2457986.56476 18.112 0.018 3.87 321.0
2457987.47841 18.149 0.025 4.60 516.0
2457987.61707 18.096 0.019 4.09 384.0
2457990.53676 18.117 0.024 4.96 419.0
2457990.65684 18.050 0.033 7.52 404.0
2457991.58912 18.181 0.028 6.03 357.0
2457992.51353 18.124 0.021 4.48 378.0
2457992.63167 18.175 0.024 5.05 386.0
2457993.56121 18.098 0.021 4.33 399.0
2457994.49335 18.162 0.028 5.64 432.0
2457994.60641 18.119 0.027 5.60 452.0
2457998.49646 18.163 0.027 4.60 600.0
2457998.54760 18.128 0.027 4.82 560.0
2458000.51991 18.170 0.038 7.07 526.0
2458000.56370 18.126 0.029 5.48 546.0
2458000.61999 18.134 0.031 5.42 664.0
2458001.52951 18.107 0.022 4.28 495.0
2458002.49938 18.201 0.049 6.26 1013.0
2458003.48639 18.113 0.040 7.47 506.0
2458004.52214 18.155 0.029 5.71 468.0
2458005.55060 18.191 0.042 7.63 460.0
2458007.60860 18.146 0.031 6.78 391.0
2458010.52271 18.178 0.029 5.55 428.0
