FieldName,FieldID,CenterRA,CenterDec,Nepochs,Nused,SpatialCalibCoefs_1,SpatialCalibCoefs_2,SpatialCalibCoefs_3,SpatialCalibCoefs_4,SpatialCalibCoefs_5,SpatialCalibCoefs_6,PMCalibCoefs_1,PMCalibCoefs_2,PMCalibCoefs_3,PMCalibCoefs_4,PMCalibCoefs_5,PMCalibCoefs_6,KMTGAIAPMRSTDRA,KMTGAIAPMRSTDDec,MeanGaiaPlx,MeanGaiaPlxErr
BLG18,12,265.44736,-26.3588,8525,6683,-1.99702473820818e-06,2.29077349687019e-08,-1.52073168360145e-07,2.07224557467133e-06,4.63322587316544,-0.460369802554102,-386.50514462383,9.6953655817105,16.3781624389113,396.134881381069,-2.62621608897465,-4.19756738947697,0.620352797349643,0.423235158648772,0.164805233439569,0.119213308459459
BLG19,13,266.97466,-24.23895,8469,6494,-2.04328864366076e-06,-1.04938507251045e-08,-1.79252473651024e-08,2.00621189821274e-06,4.65987884301637,-0.423351057447172,-354.797953832951,53.9038646344592,16.7632806706875,409.139058671791,-2.69952898606462,-3.78085443903061,1.00714740267857,0.713649101894671,0.123967173327425,0.125816942662791
BLG35,15,271.71798,-26.73372,3341,2513,-9.01611390379758e-07,1.68918381118681e-07,3.13611929101469e-07,2.904116528962e-06,4.74248102265642,-0.467052871499078,39.0821101415,353.578083859537,71.8877150264061,346.49876463006,-0.407823431313108,-4.18794126545831,1.60610733807204,2.03403117887381,0.273711650054664,0.136249372515151
BLG01,16,268.30029,-30.192115,15181,13481,-5.78943870708093e-07,-8.00550994991201e-08,1.21448029902272e-07,3.15867959040824e-06,4.68279247796426,-0.527403304744018,155.156073443986,-26.5850900074272,9.68959129202658,209.555614797789,-2.37991443752028,-6.25422310000538,3.64276581528874,3.08291556012746,0.18837232233354,0.109216862302326
BLG42,17,268.300185,-30.192365,14533,13052,-2.1229621806223e-06,3.36987487932286e-08,-1.03254079734499e-08,2.11761490775068e-06,4.68303479762086,-0.527276528701361,-252.789888353509,22.1765406731988,47.9407366168274,266.442889500069,-2.1965179143,-4.72423216166243,2.07266248588821,1.56203197960136,0.163754979776095,0.103005737398437
BLG01,18,268.018065,-30.082875,1712,1476,-2.09427081095614e-06,-8.342242445124e-09,6.39663425880581e-07,2.04780263596098e-06,4.67804166312749,-0.525283859093447,-255.823674700127,63.0597838204656,202.200345324969,273.254149973975,-4.37146871341016,-2.24023599648571,1.73854493904261,1.80592581597292,0.282728901156735,0.104249053652174
BLG02,19,268.01833,-30.075545,151,109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BLG42,20,268.01833,-30.07922,14692,13158,-1.37003708703784e-06,-2.88896698572198e-07,3.54562191123088e-07,2.60038314730288e-06,4.67795565755641,-0.525322769013132,-318.390076346409,18.5963521094494,56.0672968257845,244.001549638961,-1.49594141785168,-2.76986710126093,2.03839879109709,1.48194156434363,0.248582140636329,0.1071380994
BLG42,22,267.78688,-30.12547,14524,13012,-1.97895398853523e-06,1.10495647781573e-07,1.5942090166036e-07,2.3789606879172e-06,4.67402858339817,-0.526162577302958,-45.1565605656132,202.064147215078,-13.4694845615899,158.893135752552,-0.106601273662559,-1.3400288376656,1.507070150888,1.55111203504957,0.26935920003289,0.1118450351
BLG01,23,267.63727,-30.82865,15263,13533,-4.83921743322929e-06,-1.18316154986104e-06,-2.20193910198592e-07,2.70709892104644e-06,4.67185799012889,-0.538394405832137,-4.68538019797876,20.5906704847113,195.773552599109,249.49175172283,-1.97094375183995,-5.13119846152051,1.33136736997571,1.82073910840789,0.231602495665674,0.109481645
BLG41,24,267.63756,-30.82875,14639,13249,-2.00882073390491e-06,-3.87123338174888e-09,1.7919210973345e-07,1.95036862671448e-06,4.67140706822778,-0.538426803059879,-324.232073768479,-58.5302280172149,-14.2895550805582,364.656048987151,-1.58914231709943,-5.32564676658772,0.633803885863614,0.748294585991211,0.23333934270742,0.113571509090909
BLG01,25,269.70142,-30.771385,14790,13117,-9.49700795202744e-07,-2.17406813812674e-07,4.1594395425794e-07,3.20357562783378e-06,4.70725183366889,-0.5374885151881,-460.81142984531,-9.23282453962689,87.7016417150775,424.11437563749,-1.60094329982055,-5.17906491316717,3.04840479710955,1.54559101428535,0.204764310888967,0.124223106275862
BLG41,26,269.70133,-30.77122,14100,12762,-2.12994937970855e-06,8.18075688790871e-09,1.12416230025105e-08,1.99822455484236e-06,4.70748281728576,-0.537356513812677,-420.766321603421,52.3857524580376,-28.0679454489664,436.714318804841,-2.32616302027771,-4.83681717323673,0.703116450020862,0.762171305616246,0.217766239354232,0.123405391054545
BLG01,27,269.56896,-31.02064,15036,13327,-2.11985238137503e-06,2.96277681717114e-08,-1.84815859994416e-07,2.41471970940515e-06,4.70522315972438,-0.541787071148383,-97.2083864379404,-233.430801169698,-59.0259328023708,519.968148485053,0.127385348095621,-5.55095183067706,1.61337168459668,1.81981068308651,0.202330493312577,0.116217709935484
BLG41,28,269.56879,-31.02078,14482,13105,-1.24085357255508e-06,-4.78182723012718e-07,-7.70702355174695e-08,3.11659177087315e-06,4.70504989223447,-0.541802395443499,-259.795116042772,13.5783329647815,77.323211809067,444.506047585549,-1.48732743826123,-3.8162224363114,1.58246472355157,3.44167120702991,0.214305197040824,0.12108560990625
BLG01,29,269.28167,-30.58956,14837,13154,-2.22406474450991e-06,1.78010806465824e-09,-2.4537012487634e-08,1.91599384340349e-06,4.70017678519402,-0.534142947258227,-354.50534662984,-29.2217298674715,-14.3960200830005,222.719409915852,-2.52817412540174,-3.52149154024323,1.18507677971028,0.60314365575116,0.200081489176349,0.138266507142857
